keyword,keyword_en,frequency,category
n．p．,no problem,14623,7
胆嚢結石,Gallstones,8376,3
胆嚢腺筋腫症,Adenomyomatosis of the Gallbladder,5425,4
壁肥厚,Wall Thickening,5234,4
腺筋腫症,Adenomyomatosis,4232,4
胆石,Gallstone,3535,3
腫大,Enlargement,1687,2
結石,Stone,1528,3
くびれ,Constriction,1263,4
胆嚢炎,Cholecystitis,1038,2
胆泥,Bile Sludge,978,6
胆嚢壁肥厚,Gallbladder Wall Thickening,897,4
胆嚢腫大,Gallbladder Enlargement,776,2
胆嚢癌,Gallbladder Cancer,624,1
胆嚢内結石,Intragallbladder Stone,603,3
n．p,no problem,587,7
ポリープ,Polyp,567,5
慢性胆嚢炎,Chronic Cholecystitis,536,4
胆嚢腺筋症,Adenomyosis of the Gallbladder,523,4
胆嚢ポリープ,Gallbladder Polyp,499,5
急性胆嚢炎,Acute Cholecystitis,448,2
型胆嚢腺筋腫症,Type of Adenomyomatosis of the Gallbladder,352,4
腺筋症,Adenomyosis,334,4
結節,Nodule,266,1
石灰化結石,Calcified Stone,264,3
小結石,Small Stone,204,3
壁肥厚像,Wall Thickening Image,191,4
濃縮胆汁,Concentrated Bile,168,6
腫瘤,Tumor,165,1
隆起性病変,Elevated Lesion,145,5
胆砂,Gallbladder Sand,140,6
浮腫性変化,Edematous Changes,137,6
黄色肉芽腫性胆嚢炎,Xanthogranulomatous Cholecystitis,126,2
胆嚢浮腫,Gallbladder Edema,111,6
緊満感,Tension,108,2
胆嚢管癌,Gallbladder Duct Cancer,100,1
括れ,Constriction,98,4
壊疽性胆嚢炎,Gangrenous Cholecystitis,97,2
腫瘍,Tumor,92,1
うっ血,Congestion,86,6
胆のう腺筋腫症,Adenomyomatosis of the Gallbladder,82,4
胆泥貯留,Bile Sludge Accumulation,80,6
漿膜下浮腫,Subserosal Edema,79,6
胆嚢収縮,Gallbladder Contraction,76,7
np, no problem,74,7
膿瘍,Abscess,73,1
小胆石,Small Gallstone,72,3
胆嚢拡張,Gallbladder Expansion,66,2
慢性炎症,Chronic Inflammation,59,4
炎症波及,Inflammation Spread,52,6
小ポリープ,Small Polyp,48,5
転移,Metastasis,46,1
胆嚢腺筋腫,Gallbladder Adenomyoma,45,4
造影結節,Contrast Nodule,43,1
術後変化,Postoperative Changes,41,6
debris,Debris,39,6
型腺筋腫症,Type of Adenomyomatosis,37,4
腫瘍浸潤,Tumor Infiltration,37,1
胆嚢壁浮腫状肥厚,Edematous Thickening of Gallbladder Wall,30,4
胆石胆嚢炎,Cholecystitis with Gallstones,30,2
胆嚢壁浮腫,Edematous Gallbladder Wall,29,6
腫瘍性病変,Tumorous Lesion,29,1
胆嚢管癌の進展,Progression of Gallbladder Duct Cancer,28,1
小石灰化結石,Small Calcified Stone,28,3
胆嚢炎後,Post-cholecystitis,27,4
慢性胆のう炎,Chronic Cholecystitis,27,4
分節型胆嚢腺筋腫症,Segmental Type of Adenomyomatosis,27,4
胆石発作,Gallstone Attack,27,3
腫瘤性病変,Tumorous Lesion,27,1
RAS様構造,RAS-like Structure,26,4
胆嚢腫瘍,Gallbladder Tumor,24,1
微小胆石,Micro Gallstone,23,3
胆嚢壁浮腫性肥厚,Edematous Thickening of Gallbladder Wall,23,4
底部型胆嚢腺筋腫症,Fundus Type of Adenomyomatosis,23,4
炎症性変化,Inflammatory Changes,22,6
RAS拡張,RAS Expansion,22,6
小隆起,Small Elevation,21,5
微小石灰化,Microcalcification,21,3
胆嚢壁肥厚像,Wall Thickening Image,21,4
腫大緊満化,Enlarged Tension,20,2
胆嚢内胆石,Intragallbladder Bile Stone,20,3
壁内嚢胞,Intra-wall Cyst,20,6
肥厚像,Thickening Image,20,4
胆嚢緊満,Gallbladder Tension,20,2
壊死,Necrosis,20,6
polyp,Polyp,19,5
うっ血性変化,Congestive Changes,19,6
手技後変化,Post-procedure Changes,19,6
胆嚢穿孔,Gallbladder Perforation,18,6
胆嚢癌病変,Gallbladder Cancer Lesion,17,1
胆嚢炎合併,Complicated Cholecystitis,17,2
造影剤貯留,Contrast Agent Accumulation,17,6
くびれ構造,Constriction Structure,17,4
胆石性胆嚢炎,Cholecystitis with Gallstones,17,2
微小結石,Micro Stone,17,3
総胆管結石性胆管炎,Cholangitis with Common Bile Duct Stone,17,3
分節型,Segmental Type,16,4
癌,Cancer,16,1
胆嚢転移,Gallbladder Metastasis,16,1
隆起,Elevation,16,1
胆嚢管内結石,Intra-gallbladder Duct Stone,16,3
胆嚢浸潤,Gallbladder Infiltration,15,6
胆のう炎,Cholecystitis,15,2
腫瘤影,Tumor Shadow,15,1
ポリープ様病変,Polypoid Lesion,15,5
胆嚢小結石,Small Gallbladder Stone,15,3
腫瘤状,Tumor-like,14,1
急性胆のう炎,Acute Cholecystitis,14,2
磁器様胆嚢,Porcelain Gallbladder,14,6
胆嚢萎縮,Gallbladder Atrophy,14,2
胆石ないし胆泥,Gallstone or Bile Sludge,14,3
壊死性胆嚢炎,Necrotizing Cholecystitis,14,2
閉塞性胆管炎,Obstructive Cholangitis,14,1
胆嚢壁石灰化,Gallbladder Wall Calcification,14,3
胆嚢底部壁肥厚,Thickening of Gallbladder Fundus Wall,14,4
胆嚢内air,Intra-gallbladder Air,14,6
壁在結節,Intra-wall Nodule,14,1
胆嚢管壁肥厚,Thickening of Gallbladder Duct Wall,13,4
cystic_lesions,Cystic Lesions,13,6
ポリープ様像,Polypoid Appearance,13,5
壁内膿瘍,Intra-wall Abscess,13,6
型胆嚢腺筋症,Type of Adenomyosis of the Gallbladder,13,4
胆のう癌,Gallbladder Cancer,12,1
胆嚢病変,Gallbladder Lesion,12,6
胆嚢内高吸収,High Absorption in Gallbladder,12,6
壁肥厚とくびれ,Wall Thickening and Constriction,12,4
胆砂胆泥貯留,Gallbladder Sand and Sludge Accumulation,12,3
胆嚢内気腫,Intra-gallbladder Emphysema,12,6
胆嚢管結石,Gallbladder Duct Stone,11,3
デブリ,Debris,11,6
浮腫状の肥厚,Edematous Thickening,11,4
cystic_change,Cystic Change,11,6
閉塞性の急性胆嚢炎,Obstructive Acute Cholecystitis,10,2
胆嚢腫瘤,Gallbladder Tumor,10,1
