keyword,frequency,category
腎嚢胞,190196,0
腎結石,45700,5
n．p．,18543,7
嚢胞,18244,0
腎萎縮,9449,3
水腎症,9018,2
萎縮,8395,3
小嚢胞,5813,0
結石,4732,5
腫瘤,4701,1
石灰化,3692,5
腎癌,3614,1
腎盂腎炎,2792,6
変形,2778,4
結節,2501,1
腫大,2156,2
complicated_cyst,1959,1
造影不良域,1858,6
血管筋脂肪腫,1828,1
出血性嚢胞,1644,1
腎細胞癌,1532,1
水腎,1470,2
小結石,1400,5
腎のう胞,1393,0
腎小嚢胞,1332,0
AML,1158,1
腎小結石,1149,5
低吸収域,942,0
軟部影,931,6
腎瘢痕,922,6
腎腫大,861,2
腫瘍,859,1
n．p,834,7
早期濃染,822,6
転移,783,1
馬蹄腎,765,4
血腫,730,6
RCC,716,1
炎症,715,6
術後変化,694,6
炎症後変化,643,6
瘢痕,618,6
washout,592,1
腎石灰化,589,5
移植腎,558,6
梗塞,535,6
造影不領域,533,6
尿路感染,532,6
小結節,496,1
微小結石,484,5
腎梗塞,478,6
腎変形,472,4
微小嚢胞,454,0
腎腫瘤,440,1
腎腫瘍,435,1
腎complicated_cyst,412,1
腎杯結石,396,5
小石灰化,389,5
炎症性変化,373,6
嚢胞性病変,364,0
脂肪腫,361,1
傍腎盂嚢胞,339,0
腎転移,338,1
腎微小結石,320,5
嚢胞腎,318,0
造影不良,315,6
LDA,310,6
腎AML,297,1
wash_out,295,1
腎癌病変,291,1
感染,283,6
腫瘤影,280,1
腎盂嚢胞,278,0
腫瘤性病変,270,1
梗塞後変化,261,6
水腎水尿管,249,2
脂肪成分,247,6
陳旧性梗塞,242,6
明細胞型腎細胞癌,240,1
乳頭状腎癌,236,1
低吸収,230,6
高吸収嚢胞,217,0
高吸収結節,214,1
左腎癌,213,1
腎盂腎炎後,207,6
右水腎症,201,2
複雑性嚢胞,199,1
SOL,192,1
腎複雑嚢胞,185,1
左水腎症,182,2
腎梗塞後,182,6
腎血管筋脂肪腫,181,1
腎部分萎縮,176,3
低吸収結節,169,1
腎出血性嚢胞,168,1
複雑嚢胞,167,1
非定型嚢胞,163,1
微小石灰化,163,5
陳旧性変化,154,6
嚢胞性腎癌,148,1
原発巣,142,1
尿路感染症,139,6
梗塞後,137,6
結節影,136,1
虚血,133,6
再発,127,1
脂肪濃度結節,127,1
腎結節,119,1
腎小石灰化,117,5
右腎癌,117,1
腎高度萎縮,116,3
透析腎,116,3
洗い出し,115,1
腎炎,115,6
mass,112,1
炎症後,111,6
部分萎縮,110,3
明細胞癌,109,1
clear_cell_RCC,108,1
水腎水尿管症,107,2
嚢胞性腫瘤,104,0
炎症波及,101,6
治療後病変,100,6
腎複雑性嚢胞,100,1
腎障害,98,6
萎縮性変化,98,3
淡明細胞癌,94,1
出血性腎嚢胞,90,1
嚢胞変性,89,0
Complicated_cyst,88,1
np,86,7
小さな嚢胞,86,0
simple_cysts,84,0
RT後変化,81,6
サンゴ状結石,80,5
脂肪濃度腫瘤,80,1
腎癌原発巣,79,1
腎高吸収嚢胞,78,1
慢性腎盂腎炎,78,6
凍結後病変,78,1
腎原発巣,77,1
小腎嚢胞,76,0
急性腎障害,74,6
瘢痕性変化,74,6
高濃度嚢胞,70,1
cysts,70,0
治療後変化,70,6
血流障害,69,6
悪性リンパ腫,69,1
凍結後変化,68,6
低濃度域,67,0
慢性腎不全,66,3
腫瘍性病変,64,1
珊瑚状結石,63,5
嫌色素性腎癌,63,1
腎微小嚢胞,62,0
慢性腎障害,62,6
complicated_cysts,62,1
AML病変,62,1
治療後病変部,60,6
再発病変,60,1
嚢胞成分,58,0
多血性腫瘍,58,1
充実成分,58,1
小腎結石,58,5
ACDK,57,0
軟部濃度腫瘤,57,1
腎癌再発病変,57,1
出血嚢胞,54,1
瘢痕変形,54,4
腫瘍浸潤,54,1
fat_poor_AML,54,1
萎縮瘢痕像,54,3
サンゴ状石灰化,52,5
水腎・水尿管,52,2
急性腎盂腎炎,52,6
残存腫瘍,50,1
瘢痕化,50,6
腎梗塞後変化,50,6
腎機能障害,49,6
腎代償性肥大,49,2
左腎癌治療後病変,48,1
右腎癌治療後病変,48,1
水腎尿管,48,2
乳頭状腎細胞癌,48,1
陳旧性変形,48,6
腎炎後変化,46,6
良性病変,45,6
高吸収腫瘤,45,1
腎complicated_cysts,45,1
小腫瘤,44,1
梗塞後の変化,44,6
腫大して,44,2
右嚢胞性腎癌,44,1
虚血後変化,44,6
腎高濃度嚢胞,44,1
腎癌転移,43,1
軟部腫瘤,43,1
感染合併,42,6
明細胞型腎癌,40,1
両側水腎症,40,2
多嚢胞腎,40,0
cyst,40,0
微小腎結石,40,5
腎実質萎縮,40,3
腎非定形嚢胞,38,1
腎結石症,38,5
炎症後の変化,38,6
Wash_out型,38,1
塞栓後,37,6
水腎水,37,2
凹凸,36,4
腎嚢胞性病変,36,0
梗塞後の瘢痕,36,6
Bosniak分類II,36,1
washoutパターン,36,1
瘢痕萎縮,36,3
脂肪性腫瘤,35,1
腫瘤様病変,34,1
増強結節,34,1
陳旧性陥凹,34,6
clear_cell_typeの腎細胞癌,33,1
微小腎嚢胞,33,0
腎出血,32,1
腎AVM,32,1
残存腎癌病変,32,1
AFBN,32,6
透析,32,3
充実性腫瘍,31,1
血管脂肪腫,31,1
うっ血性変化,31,2
clear_cell_typeのRCC,30,1
濃染結節,30,1
梗塞後の慢性期変化,30,6
気腫性腎盂腎炎,29,6
両側腎癌,29,1
術後性変化,28,6
線状の造影不良域,28,6
腎損傷,28,6
腎癌再発巣,28,1
腎非定型嚢胞,28,1
充実結節,28,1
リンパ腫,27,1
腎?胞,27,0
厚い嚢胞,27,0
腎珊瑚状結石,26,5
陳旧性炎症,26,6
萎縮変形,26,3
陳旧性炎症性変化,26,6
炎症後の瘢痕,26,6
乏血性結節,26,1
腎盂腎炎後の変化,26,6
急性巣状細菌性腎炎,26,6
小腎癌,26,1
腎癌の原発巣,26,1
炎症後瘢痕,26,6
clear_cell_carcinoma,26,1
腎RCC,25,1
腎結核,25,1
腎癌再発,25,1
嚢胞構造,24,0
実質萎縮,24,3
腎浸潤,24,1
Bosniak分類IIF,24,1
腎癌凍結域,24,1
ADPKD,24,0
萎縮像,24,3
造影不良・萎縮,24,3
瘢痕萎縮像,24,3
ごく小さな嚢胞,24,0
水腎尿管症,24,2
非定形嚢胞,24,1
高濃度結節,23,1
軟部濃度結節,23,1
papillary_RCC,22,1
脂肪肉腫,22,1
転移巣,22,1
濃染~洗い出し,22,1
腫瘤様構造,22,1
腫瘤状構造,22,1
腎盂のう胞,22,0
後期染まり抜け,22,1
石灰化結石,22,5
clear_cell_type）,22,1
萎縮気味,22,3
早期濃染する残存腫瘍,22,1
水腎・水,21,2
嚢胞様構造,21,0
炎症合併,21,6
重粒子線治療後変化,20,6
肝嚢胞脾嚢胞腎嚢胞,20,0
嚢胞状腎癌,20,1
極AML,20,1
腎癌再々再発病変,20,1
腎梗塞後の変化,20,6
脂肪濃度小結節,20,1
非定型腎嚢胞,20,1
早期濃染し洗い出し,20,1
凍結治療後部,20,1
梗塞像,20,6
嚢胞部分,20,0
充実性腫瘤,20,1
cysticな成分,20,0
再発腫瘤,20,1
嫌色素性腎細胞癌,20,1
腎傍腎盂嚢胞,20,0
水腎・腎萎縮,19,3
陳旧性病変,19,6
梗塞後瘢痕,19,6
腎再発,19,1
動静脈奇形,18,1
脂肪濃度の結節,18,1
乳頭状腫瘍,18,1
結節性病変,18,1
腎盂結石,18,5
炎症性瘢痕,18,6
慢性期変化,18,6
urinoma,18,1
ベリニ腎癌,18,1
浸潤性腎盂腫瘍,18,1
出血性嚢胞後の変化,18,1
陳旧性の梗塞,18,6
放射線照射後変化,18,6
良性変化,18,6
炎症像,18,6
乏血性の腫瘍,18,1
angiomyolipoma,18,1
Clear_cell_RCC,17,1
複雑性腎嚢胞,17,1
炎症所見,17,6
感染後変化,16,6
転移性腎腫瘍,16,1
造影欠損像,16,6
腎低形成,16,3
所々萎縮,16,3
リンパ腫病変,16,1
腎淡明細胞癌,16,1
Wash_out,16,1
早期濃染-washout,16,1
萎縮し嚢胞,16,3
放射線治療後の変化,16,6
瘢痕状萎縮,16,3
