keyword,frequency,category
肝嚢胞,68724,0
脂肪肝,27327,1
肝転移,14344,3
血管腫,10433,3
嚢胞,8213,0
腫瘤,6045,3
早期濃染,5868,7
転移,5544,3
肝内胆管拡張,5444,2
低吸収域,4926,3
肝血管腫,4518,3
小嚢胞,4396,0
HCC,4381,3
肝細胞癌,4098,3
結節,3604,3
慢性肝障害,3364,4
早期濃染域,2943,7
血流異常,2316,7
LDA,2248,3
石灰化,2156,5
胆管炎,2096,7
術後変化,1920,7
軟部影,1839,7
液貯留,1824,7
肝硬変,1615,4
腫大,1433,4
液体貯留,1426,7
低吸収,1304,3
AP_shunt,1284,7
腫瘍,1235,3
早期濃染結節,1200,7
濃染,1190,7
肝内胆管癌,1142,3
pneumobilia,1112,6
胆管拡張,1051,2
肝膿瘍,1045,3
膿瘍,1044,7
肝のう胞,1026,0
変形,986,4
浸潤,982,3
SOL,980,3
washout,937,3
低吸収結節,926,3
萎縮,911,4
造影不良域,840,7
肝門部胆管癌,835,3
肝変形,819,4
n．p．,779,8
低濃度域,771,7
軟部陰影,712,7
肝腫大,662,4
A-P_shunt,629,7
血腫,624,7
再発,583,3
脂肪沈着,576,1
早期濃染像,565,7
鈍化,564,4
肝縁鈍化,560,4
微小嚢胞,555,0
biloma,552,3
炎症,549,7
LC_pattern,532,4
肝小嚢胞,528,0
RFA後変化,528,7
小結節,518,3
高吸収,516,7
APシャント,515,7
結節状,499,3
乏血性結節,494,3
転移巣,486,3
血栓,442,7
小肝嚢胞,433,0
肝細胞癌再発,429,3
小石灰化,419,5
肝脾腫,407,4
軟部濃度,382,7
濃染域,360,7
高吸収域,358,7
肝内転移,346,3
肝障害,339,4
肝腫瘤,338,3
肝内結石,322,5
結石,321,5
肝石灰化,313,5
wash_out,311,3
硬変肝,306,4
早期造影域,284,7
凹凸不整,284,4
腫瘤性病変,280,3
HCC再発,274,3
早期増強効果,274,7
微小肝嚢胞,272,0
染まり抜け,265,3
腫瘍栓,261,7
再発病変,258,3
凹凸,256,4
小血管腫,253,3
軟部組織,241,7
転移性肝腫瘍,237,3
嚢胞性病変,234,0
感染,231,7
軟部濃度域,230,7
腫瘍浸潤,228,3
ステント,224,7
うっ血肝,222,4
FNH,221,3
肝浸潤,220,3
肝内石灰化,216,5
腫瘤影,216,3
転移性肝癌,210,3
治療後変化,207,7
原発巣,206,3
肝転移巣,203,3
PV_shunt,195,7
shunt,194,7
viable_HCC,193,3
壊死,192,7
浮腫,191,7
染まり,183,0
術後性変化,178,7
変形萎縮,178,4
良性病変,178,7
増強不良域,178,7
periportal_collar,173,7
濃染結節,172,3
結節状の早期濃染,171,3
炎症性変化,170,7
PVシャント,168,7
AP-shunt,167,7
造影不領域,158,7
A-Pシャント,157,7
出血,155,7
液体貯留腔,154,7
APshunt,152,7
小さな嚢胞,151,0
肝梗塞,146,7
胆汁瘻,145,7
結節状早期濃染,145,3
造影効果は不均一,144,7
再生結節,144,3
n．p,143,8
LC_shape,143,4
肝病変,142,7
