keyword,keyword_en,frequency,category
肝嚢胞,Liver Cyst,68724,0
脂肪肝,Fatty Liver,27327,1
肝転移,Liver Metastasis,14344,3
血管腫,Hemangioma,10433,3
嚢胞,Cyst,8213,0
腫瘤,Tumor,6045,3
早期濃染,Early Enhancement,5868,7
転移,Metastasis,5544,3
肝内胆管拡張,Intrahepatic Bile Duct Dilation,5444,2
低吸収域,Low Attenuation Area,4926,3
肝血管腫,Hepatic Hemangioma,4518,3
小嚢胞,Small Cyst,4396,0
HCC,HCC,4381,3
肝細胞癌,Hepatocellular Carcinoma,4098,3
結節,Nodule,3604,3
慢性肝障害,Chronic Liver Damage,3364,4
早期濃染域,Early Enhanced Area,2943,7
血流異常,Blood Flow Abnormality,2316,7
LDA,LDA,2248,3
石灰化,Calcification,2156,5
胆管炎,Cholangitis,2096,7
術後変化,Postoperative Changes,1920,7
軟部影,Soft Tissue Shadow,1839,7
液貯留,Fluid Retention,1824,7
肝硬変,Liver Cirrhosis,1615,4
腫大,Enlargement,1433,4
液体貯留,Fluid Accumulation,1426,7
低吸収,Low Absorption,1304,3
AP_shunt,AP Shunt,1284,7
腫瘍,Tumor,1235,3
早期濃染結節,Early Enhanced Nodule,1200,7
濃染,Enhancement,1190,7
肝内胆管癌,Intrahepatic Cholangiocarcinoma,1142,3
pneumobilia,Pneumobilia,1112,6
胆管拡張,Bile Duct Dilation,1051,2
肝膿瘍,Liver Abscess,1045,3
膿瘍,Abscess,1044,7
肝のう胞,Liver Cyst,1026,0
変形,Deformation,986,4
浸潤,Infiltration,982,3
SOL,SOL,980,3
washout,Washout,937,3
低吸収結節,Low Attenuation Nodule,926,3
萎縮,Atrophy,911,4
造影不良域,Contrast Deficient Area,840,7
肝門部胆管癌,Hilar Cholangiocarcinoma,835,3
肝変形,Liver Deformation,819,4
n．p．,N.p.,779,8
低濃度域,Low Density Area,771,7
軟部陰影,Soft Tissue Shadow,712,7
肝腫大,Liver Enlargement,662,4
A-P_shunt,A-P Shunt,629,7
血腫,Hematoma,624,7
再発,Recurrence,583,3
脂肪沈着,Fat Deposition,576,1
早期濃染像,Early Enhanced Image,565,7
鈍化,Blunting,564,4
肝縁鈍化,Blunted Liver Edge,560,4
微小嚢胞,Micro Cyst,555,0
biloma,Biloma,552,3
炎症,Inflammation,549,7
LC_pattern,LC Pattern,532,4
肝小嚢胞,Small Liver Cyst,528,0
RFA後変化,Post-RFA Changes,528,7
小結節,Small Nodule,518,3
高吸収,High Absorption,516,7
APシャント,AP Shunt,515,7
結節状,Nodular,499,3
乏血性結節,Hypovascular Nodule,494,3
転移巣,Metastatic Focus,486,3
血栓,Thrombus,442,7
小肝嚢胞,Small Liver Cyst,433,0
肝細胞癌再発,Recurrent Hepatocellular Carcinoma,429,3
