keyword,frequency,category
n．p．,17724,7
嚢胞性病変,9779,0
主膵管拡張,6953,5
腫瘤,5048,1
嚢胞,4929,0
萎縮,4386,3
膵癌,3971,1
小嚢胞,3400,0
IPMN,2761,0
分枝型IPMN,2712,0
石灰化,2415,4
腫大,2185,2
慢性膵炎,1880,4
膵石,1838,4
膵萎縮,1713,3
膵炎,1365,2
分枝膵管型IPMN,1289,0
膵頭部癌,1105,1
原発巣,1095,6
腫瘍,1075,1
低吸収域,985,6
癌,982,1
膵嚢胞性病変,960,0
結節,919,1
軟部影,851,6
膵液瘻,822,6
n．p,798,7
急性膵炎,796,2
脂肪織濃度上昇,685,6
脂肪浸潤,667,7
仮性嚢胞,664,0
膵嚢胞,653,0
転移,620,1
膵管拡張,611,5
膵腫大,608,2
小石灰化,586,4
脂肪織混濁,496,6
NET,494,1
小嚢胞性病変,463,0
膵転移,449,1
膵脂肪浸潤,429,7
嚢胞性腫瘤,400,1
術後変化,386,6
貯留嚢胞,373,0
自己免疫性膵炎,305,2
閉塞性膵炎,286,2
混合型IPMN,285,0
膵癌原発巣,271,1
造影不良域,267,6
LDA,255,6
腫瘤性病変,246,1
膵管tube,241,6
炎症,229,6
膵IPMN,223,0
分枝膵管拡張,212,0
低吸収,211,6
嚢胞性結節,199,0
微小嚢胞,199,0
充実成分,198,6
早期濃染結節,193,1
結石,191,4
SCN,184,1
腫瘤影,173,1
多房性嚢胞性病変,170,0
膵管チューブ,162,6
乏血性腫瘍,146,1
再発,146,1
神経内分泌腫瘍,146,1
嚢胞構造,144,0
微小石灰化,142,4
IPMC,132,1
膵石灰化,130,4
充実部,128,0
膵腫瘍,127,1
膵癌病変,124,1
後方浸潤,122,6
主膵管拡張像,119,5
浸潤性膵管癌,117,1
腫瘤形成性膵炎,115,1
早期濃染,114,6
嚢胞病変,111,0
癌原発巣,106,1
膵実質萎縮,106,3
膵内分泌腫瘍,106,1
tube,104,6
脂肪濃度上昇,103,6
膵炎後,102,6
膵頭部癌原発巣,100,1
WON,99,6
脂肪壊死,97,6
膵NET,90,1
np,90,7
cystic_lesion,87,0
小結節,87,1
造影不領域,86,6
mass,86,1
膵管ステント,85,6
ステント,85,6
多血性腫瘍,85,1
被包化液体貯留,84,6
膵原発巣,82,1
主膵管型IPMN,81,0
膿瘍,80,6
被包化液貯留,80,6
膵頭部癌病変,77,1
膵胆管合流異常,75,6
膵分枝型IPMN,74,0
濃染結節,73,1
