keyword,keyword_en,frequency,category
n．p．,no problem,17724,7
嚢胞性病変,Cystic lesion,9779,0
主膵管拡張,Main pancreatic duct dilation,6953,5
腫瘤,Tumor,5048,1
嚢胞,Cyst,4929,0
萎縮,Atrophy,4386,3
膵癌,Pancreatic cancer,3971,1
小嚢胞,Small cyst,3400,0
IPMN,IPMN,2761,0
分枝型IPMN,Branch-duct IPMN,2712,0
石灰化,Calcification,2415,4
腫大,Enlargement,2185,2
慢性膵炎,Chronic pancreatitis,1880,4
膵石,Pancreatic stone,1838,4
膵萎縮,Pancreatic atrophy,1713,3
膵炎,Pancreatitis,1365,2
分枝膵管型IPMN,Branch duct type IPMN,1289,0
膵頭部癌,Head of pancreas cancer,1105,1
原発巣,Primary site,1095,6
腫瘍,Tumor,1075,1
低吸収域,Low-density area,985,6
癌,Cancer,982,1
膵嚢胞性病変,Pancreatic cystic lesion,960,0
結節,Nodule,919,1
軟部影,Soft tissue shadow,851,6
膵液瘻,Pancreatic fistula,822,6
n．p,no problem,798,7
急性膵炎,Acute pancreatitis,796,2
脂肪織濃度上昇,Increased fat density,685,6
脂肪浸潤,Fat infiltration,667,7
仮性嚢胞,Pseudocyst,664,0
膵嚢胞,Pancreatic cyst,653,0
転移,Metastasis,620,1
膵管拡張,Pancreatic duct dilation,611,5
膵腫大,Pancreatic enlargement,608,2
小石灰化,Small calcification,586,4
脂肪織混濁,Fatty tissue opacity,496,6
NET,NET,494,1
小嚢胞性病変,Small cystic lesion,463,0
膵転移,Pancreatic metastasis,449,1
膵脂肪浸潤,Pancreatic fat infiltration,429,7
嚢胞性腫瘤,Cystic tumor,400,1
術後変化,Postoperative change,386,6
貯留嚢胞,Retention cyst,373,0
自己免疫性膵炎,Autoimmune pancreatitis,305,2
閉塞性膵炎,Obstructive pancreatitis,286,2
混合型IPMN,Mixed type IPMN,285,0
膵癌原発巣,Primary site of pancreatic cancer,271,1
造影不良域,Poorly enhanced area,267,6
LDA,LDA,255,6
腫瘤性病変,Tumorous lesion,246,1
膵管tube,Pancreatic duct tube,241,6
炎症,Inflammation,229,6
膵IPMN,Pancreatic IPMN,223,0
分枝膵管拡張,Branch pancreatic duct dilation,212,0
低吸収,Low absorption,211,6
嚢胞性結節,Cystic nodule,199,0
微小嚢胞,Microcyst,199,0
充実成分,Solid component,198,6
早期濃染結節,Early enhanced nodule,193,1
結石,Stone,191,4
SCN,SCN,184,1
腫瘤影,Tumor shadow,173,1
多房性嚢胞性病変,Multilocular cystic lesion,170,0
膵管チューブ,Pancreatic duct tube,162,6
乏血性腫瘍,Hypovascular tumor,146,1
再発,Recurrence,146,1
神経内分泌腫瘍,Neuroendocrine tumor,146,1
嚢胞構造,Cyst structure,144,0
微小石灰化,Microcalcification,142,4
IPMC,IPMC,132,1
膵石灰化,Pancreatic calcification,130,4
充実部,Solid part,128,0
膵腫瘍,Pancreatic tumor,127,1
膵癌病変,Pancreatic cancer lesion,124,1
後方浸潤,Posterior invasion,122,6
主膵管拡張像,Main pancreatic duct dilation,119,5
浸潤性膵管癌,Invasive pancreatic ductal carcinoma,117,1
腫瘤形成性膵炎,Tumor-forming pancreatitis,115,1
早期濃染,Early enhancement,114,6
嚢胞病変,Cystic lesion,111,0
癌原発巣,Primary cancer site,106,1
膵実質萎縮,Pancreatic parenchymal atrophy,106,3
膵内分泌腫瘍,Pancreatic neuroendocrine tumor,106,1
tube,Tube,104,6
脂肪濃度上昇,Increased fat density,103,6
膵炎後,Post-pancreatitis,102,6
膵頭部癌原発巣,Primary site of head of pancreas cancer,100,1
WON,WON,99,6
脂肪壊死,Fat necrosis,97,6
膵NET,Pancreatic NET,90,1
np,no problem,90,7
cystic_lesion,Cystic lesion,87,0
小結節,Small nodule,87,1
造影不領域,Poorly enhanced area,86,6
mass,Mass,86,1
膵管ステント,Pancreatic duct stent,85,6
ステント,Stent,85,6
多血性腫瘍,Hypervascular tumor,85,1
被包化液体貯留,Encapsulated fluid collection,84,6
膵原発巣,Primary pancreatic site,82,1
主膵管型IPMN,Main duct type IPMN,81,0
膿瘍,Abscess,80,6
被包化液貯留,Encapsulated fluid retention,80,6
膵頭部癌病変,Head of pancreas cancer lesion,77,1
膵胆管合流異常,Pancreaticobiliary maljunction,75,6
膵分枝型IPMN,Branch-duct type IPMN,74,0
濃染結節,Enhanced nodule,73,1
ERCP後膵炎,Post-ERCP pancreatitis,72,2
嚢胞変性,Cystic degeneration,70,0
チューブ,Tube,70,6
膵炎後変化,Post-pancreatitis change,69,6
前方浸潤,Anterior invasion,69,6
脂肪沈着,Fat deposition,69,6
嚢胞性変化,Cystic change,68,0
膵頭部嚢胞,Head of pancreas cyst,68,0
炎症波及,Inflammatory spread,67,6
膵仮性嚢胞,Pancreatic pseudocyst,66,0
低吸収結節,Low absorption nodule,66,1
通常型膵癌,Typical pancreatic cancer,66,1
癌病変,Cancer lesion,64,1
毛羽立ち,Fraying,63,6
脂肪織濃度の上昇,Increased fat density,62,6
腫大して,Enlarged,61,2
SPN,SPN,61,1
膵炎後の仮性嚢胞,Post-pancreatitis pseudocyst,61,0
膵液漏,Pancreatic fluid leak,60,1
脂肪膵,Fatty pancreas,60,7
浮腫性変化,Edematous change,60,6
仮性膵嚢胞,Pseudopancreatic cyst,59,0
膵浸潤,Pancreatic infiltration,58,1
炎症性変化,Inflammatory change,58,6
被包化液体貯留腔,Encapsulated fluid-filled cavity,56,6
壊死性膵炎,Necrotizing pancreatitis,56,2
内分泌腫瘍,Endocrine tumor,55,1
変性,Degeneration,54,6
多房性嚢胞,Multilocular cyst,51,0
感染,Infection,50,6
残膵萎縮,Remaining pancreatic atrophy,49,3
実質萎縮,Parenchymal atrophy,49,3
MCN,MCN,49,1
膵管内乳頭粘液性腺癌,Pancreatic intraductal papillary mucinous carcinoma,49,0
膵腺房細胞癌,Pancreatic acinar cell carcinoma,48,1
分岐型IPMN,Branch type IPMN,48,0
嚢胞様構造,Cyst-like structure,48,0
SOL,SOL,46,1
結節影,Nodular shadow,46,1
膵のう胞,Pancreatic cyst,44,0
膵内石灰化,Intraparenchymal calcification,43,4
腫瘤状,Tumorous,42,1
乏血性結節,Hypovascular nodule,42,1
腫瘍性病変,Neoplastic lesion,41,1
腫瘍浸潤,Tumor infiltration,40,1
主膵管チューブ,Main pancreatic duct tube,40,6
脂肪化,Fatty change,39,7
retention_cyst,Retention cyst,38,0
膵頭部IPMN,Head of pancreas IPMN,38,0
膵IPMC,Pancreatic IPMC,37,1
結節状構造,Nodular structure,37,1
転移巣,Metastatic site,36,1
膵小嚢胞,Pancreatic microcyst,36,0
残膵再発,Remaining pancreatic recurrence,36,1
pNET,pNET,36,6
腫脹,Swelling,36,2
まずは分枝型IPMN,First branch type IPMN,35,0
膵内胆管浸潤,Intraparenchymal bile duct invasion,35,1
膵神経内分泌腫瘍,Pancreatic neuroendocrine tumor,35,1
NET病変,NET lesion,34,1
膵外浸潤,Extra-pancreatic invasion,33,1
被膜様構造,Capsule-like structure,33,6
原発病変,Primary lesion,33,1
腺房細胞癌,Acinar cell carcinoma,32,1
膵管内乳頭状粘液性腫瘍,Pancreatic intraductal papillary mucinous tumor,32,1
膵癌の浸潤,Pancreatic cancer invasion,31,1
嚢胞壁,Cyst wall,30,0
膵管癌,Pancreatic duct carcinoma,29,1
急性膵炎後,Post-acute pancreatitis,29,6
インスリノーマ,Insulinoma,29,1
膵管内乳頭粘液性腫瘍,Pancreatic intraductal papillary mucinous tumor,28,0
膵頭部嚢胞性病変,Head of pancreas cystic lesion,28,0
嚢胞成分,Cystic component,28,0
萎縮気味,Slightly atrophic,28,3
主膵管狭窄,Main pancreatic duct stricture,28,5
膵原発,Primary pancreatic lesion,28,1
重症膵炎,Severe pancreatitis,28,2
膿瘍形成,Abscess formation,27,1
被包化壊死,Encapsulated necrosis,27,6
主膵管途絶,Main pancreatic duct disruption,27,5
単房性嚢胞性病変,Unilocular cystic lesion,27,0
低濃度病変,Low-density lesion,27,6
groove膵癌,Groove pancreatic cancer,27,1
