keyword,frequency,category
n．p．,20602,5
脾腫,14619,2
腫大,1306,2
n．p,798,5
石灰化,557,3
脾梗塞,466,4
腫瘤,404,1
LDA,403,4
肝脾腫,395,2
脾嚢胞,386,0
低吸収域,359,4
結節,347,1
嚢胞,283,0
良性病変,176,4
リンパ管腫,170,4
腫瘍,170,1
脾腫大,167,2
嚢胞性病変,166,0
脾転移,158,1
多脾症,146,4
転移,143,1
低吸収結節,127,1
小嚢胞,125,0
過誤腫,122,1
梗塞,120,4
造影不良域,111,4
np,99,5
脾嚢胞性病変,96,0
変形,94,2
小結節,77,1
梗塞後変化,73,4
脾梗塞後,72,4
脾腫不変,71,2
萎縮,69,2
脾石灰化,67,3
造影不領域,64,4
術後変化,61,4
SOL,60,1
脾浸潤,59,1
小石灰化,54,3
脾腫瘤,47,1
腫瘍浸潤,45,1
脾損傷,43,4
小低吸収域,43,4
脾梗塞後変化,41,4
脾結節,41,1
微小石灰化,38,3
造影欠損域,37,4
脾内低吸収域,34,4
腫瘤影,31,1
脾低濃度結節,30,4
低濃度域,29,4
増強不良域,29,4
脾梗塞像,29,4
低吸収,28,4
脾梗塞後の変化,27,4
仮性嚢胞,24,0
HCC転移,24,1
陳旧性結核,23,3
原発巣,22,1
脾LDA,21,4
脾腫同様,20,2
脾萎縮,20,2
良性,20,4
結節影,19,1
脾のう胞,19,0
陳旧性脾梗塞,18,4
腫瘤性病変,18,1
感染,17,4
炎症,17,4
脾内低吸収結節,17,4
サルコイドーシス,16,1
巨脾,16,2
造影欠損像,16,4
脾低吸収域,16,4
脾腫瘍,16,1
軽度肝脾腫,15,2
造影不良,15,4
乏血性結節,15,1
梗塞後,14,4
虚血,14,4
炎症性変化,14,4
脾部分梗塞後変化,14,4
脾小嚢胞,14,0
陳旧性変化,14,4
脾血管腫,13,1
早期濃染結節,13,1
脾部分梗塞,13,4
膵癌の浸潤,12,1
低吸収病変,12,4
部分脾梗塞,12,4
膿瘍,12,1
脾膿瘍,11,1
LDAs,11,4
肝嚢胞脾嚢胞腎嚢胞,10,0
低吸収SOL,10,1
脾門部嚢胞性病変,10,0
出血,10,4
塞栓後,10,4
脾過誤腫,10,0
遊走脾,10,4
嚢胞性腫瘤,10,0
良性結節,10,4
点状石灰化,9,3
脾変形,9,2
脾病変,9,4
脾小石灰化,9,3
嚢胞病変,8,0
脾低吸収結節,8,1
濃染する結節,8,1
高吸収域,8,4
脾小結節,7,1
脾低濃度域,7,4
脾腫腎嚢胞,7,0
造影効果不良,7,4
小LDA,7,4
濃染結節,7,1
小嚢胞性病変,7,0
アーチファクト,7,4
軟部濃度結節,6,1
軟部腫瘤,6,4
索状の造影不良,6,4
結節状の構造,6,1
脾内石灰化,5,3
小低濃度結節,5,1
微小嚢胞,5,0
巨大脾腫,5,2
脾捻転,5,4
副脾ないしsplenosis,5,4
造影効果低下,5,4
軟部濃度構造,4,4
圧排変形,4,2
軟部組織影,4,4
低形成,4,4
低吸収領域,4,4
脾内低濃度病変,3,4
嚢胞性結節,3,0
肝脾腫大,3,2
濃染性結節,3,1
脾低吸収腫瘤,3,4
嚢胞成分,3,0
造影結節,3,1
脾内嚢胞性病変,3,0
脾腫像,3,2
微小結節,3,1
脾腫同程度,2,2
脾梗塞部,2,4
脾低吸収病変,2,4
低吸収値結節,2,4
小結節状の低吸収域,2,4
脾像萎縮,2,2
腫大して,2,2
濃染腫瘤,2,1
高濃度域,2,4
梗塞域,2,4
微細石灰化,2,3
低造影域,2,4
脾内LDA,2,4
脾腫大著明,2,2
小腫瘤,2,1
脾腫増大,2,2
脾点状石灰化,2,3
脾嚢胞低吸収結節,1,0
微小石灰,1,3
脾内腫瘤,1,1
肝脾萎縮,1,2
脾嚢胞性腫瘤,1,0
結節状変化,1,1
腫張,1,2
索状の造影欠損像,1,4
結節状低濃度,1,4
腫瘤状の低濃度域,1,1
線状の低吸収域,1,4
脾内低吸収,1,4
結節性病変,1,4
線状の石灰化,1,3
胆石脾腫,1,2
脾腫軽度,1,2
脾結石,1,3
脾内低濃度結節,1,1
石灰化腫瘤,1,3
